标题：有人一起看生活大爆炸嘛！想有吧友一起聊天一起看的加我！玩微光 	 链接：https://tieba.baidu.com//p/5651812079 	 发帖人：清浅余香嗅 	 发帖时间：4-16 	 回复数量：0 
标题：【TBBT】整理了生活大爆炸1-11季。 🆎超淸 中英双字 	 链接：https://tieba.baidu.com//p/5653013792 	 发帖人：你的小掰呀 	 发帖时间：14:46 	 回复数量：2 
标题：认识很久又很熟悉的女孩，怎么撩到并搞定她？れ胸教 	 链接：https://tieba.baidu.com//p/5652218949 	 发帖人：qq274563450 	 发帖时间：00:59 	 回复数量：2 
标题：【TBBT】整理了生活大爆炸1-11季。  🆎超淸 中英双字 	 链接：https://tieba.baidu.com//p/5652500847 	 发帖人：你的小掰呀 	 发帖时间：09:01 	 回复数量：8 
标题：你们好，贵吧的朋友，能否方便告诉我一下，看TBBT前几季在那 	 链接：https://tieba.baidu.com//p/5652187581 	 发帖人：待我击败... 	 发帖时间：00:31 	 回复数量：1 
标题：致所有女神们的一封信 	 链接：https://tieba.baidu.com//p/5652882721 	 发帖人：幸运的熊... 	 发帖时间：13:22 	 回复数量：2 
标题：霍华德这段简直笑死~ 	 链接：https://tieba.baidu.com//p/5391281888 	 发帖人：太保龙珠 	 发帖时间：2017-10 	 回复数量：7 
标题：今天是第250集，期待能拍到300集 	 链接：https://tieba.baidu.com//p/5635815802 	 发帖人：lunan8619 	 发帖时间：4-6 	 回复数量：19 
标题：【TBBT】整理了生活大爆炸1-11季。  🆎超淸 中英双字 	 链接：https://tieba.baidu.com//p/5652104447 	 发帖人：你的小掰呀 	 发帖时间：4-16 	 回复数量：15 
标题：Sheldon应该是四人中婚姻地位最高的 	 链接：https://tieba.baidu.com//p/5645671768 	 发帖人：留黄书 	 发帖时间：4-12 	 回复数量：7 
标题：看了耳朵去年的电影，继《当幸福来敲门》后我第二喜欢的传记电影 	 链接：https://tieba.baidu.com//p/5621897961 	 发帖人：lunan8619 	 发帖时间：3-28 	 回复数量：11 
标题：supernatural第四季第十三集“伯纳黛道特”露了个脸 	 链接：https://tieba.baidu.com//p/4976545847 	 发帖人：谭文星JB 	 发帖时间：2017-02 	 回复数量：13 
标题：【TBBT】《生活大爆炸》第十季熟肉 	 链接：https://tieba.baidu.com//p/5546422491 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量：220 
标题：【TBBT】《生活大爆炸》第十一季熟肉 	 链接：https://tieba.baidu.com//p/5545877734 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量：162 
标题：霍金是要一直活在大爆炸里吗 	 链接：https://tieba.baidu.com//p/5650270429 	 发帖人：OctomaRon 	 发帖时间：4-15 	 回复数量：4 
标题：跪求大神！ 	 链接：https://tieba.baidu.com//p/5649986538 	 发帖人：努力姑娘... 	 发帖时间：4-15 	 回复数量：2 
标题：哇！这不是卡洛琳吗。。。她要跟拉杰什在一起了？ 	 链接：https://tieba.baidu.com//p/5628120603 	 发帖人：宝宝龙贝 	 发帖时间：4-1 	 回复数量：4 
标题：《生活大爆炸》你可能不知道的21件事 	 链接：https://tieba.baidu.com//p/4432137688 	 发帖人：嘿_屁仔PuChi 	 发帖时间：2016-03 	 回复数量：374 
标题：注意看右边克莱尔妹纸 	 链接：https://tieba.baidu.com//p/5555130371 	 发帖人：耳朵Moonpie 	 发帖时间：2-17 	 回复数量：34 
标题：又重新刷了一遍发现霍华德父亲的信 	 链接：https://tieba.baidu.com//p/5651636079 	 发帖人：白狼王da 	 发帖时间：4-16 	 回复数量：0 
标题：有人知道色色碰吗 	 链接：https://tieba.baidu.com//p/5651585421 	 发帖人：kulusakeiWsQc 	 发帖时间：4-16 	 回复数量：0 
